"AQI Value","CO AQI Value","Ozone AQI Value","NO2 AQI Value","PM2.5 AQI Value","lat","lng"
69,1,39,1,69,45.6667,18.9833
115,3,14,12,115,13.8,-89.1833
16,1,12,0,16,-20.4708,-55.7869
60,1,31,3,60,43.6767,4.6278
43,2,43,4,41,40.9167,14.8256
57,2,12,7,57,32.6087,-85.4903
57,2,12,7,57,47.3039,-122.2108
57,2,12,7,57,42.9338,-76.5685
57,2,12,7,57,44.0851,-70.2492
57,2,12,7,57,42.1972,-71.8453
57,2,12,7,57,38.895,-121.0777
57,2,12,7,57,41.3666,-85.0559
66,1,31,3,66,43.95,4.8075
120,4,12,35,120,34.0391,-117.997
39,1,29,3,39,36.9167,15.1333
25,0,3,2,25,-14.8818,-70.5901
50,1,28,3,50,49.2333,9.1
31,0,30,3,31,53.3808,-1.4703
31,0,30,3,31,34.757,-87.6977
38,0,20,0,38,13.174,100.93
90,1,15,0,90,9.35,123.2833
53,1,34,0,53,46.3,7.5333
152,0,31,0,152,21.7,71.97
242,1,73,1,242,24.9564,86.0344
53,1,18,9,53,42.4959,-96.3901
68,1,39,0,68,48.9881,22.1567
54,1,36,2,54,45.615,9.0839
43,1,7,3,43,-14.9589,-39.3
24,0,24,0,9,-29.8839,-54.825
31,0,31,1,28,50.9481,1.8564
75,2,19,9,75,45.5,11.9167
176,3,176,1,107,26.2435,86.2799
305,1,48,1,280,25.8103,85.0157
305,1,48,1,280,24.9689,84.974
305,1,48,1,280,26.4989,86.3242
41,1,41,0,24,46.0833,40.8583
29,1,29,0,19,54.1,54.1333
101,1,36,4,101,44.82,20.46
101,1,36,4,101,45.7789,-111.1736
54,1,32,5,54,39.0394,-76.9211
51,1,19,4,51,32.6788,-97.4637
69,2,8,15,69,52.52,13.405
69,2,8,15,69,41.6114,-72.7758
69,2,8,15,69,44.4869,-71.2599
32,0,28,1,32,52.0211,8.5347
190,1,38,0,190,26.0501,78.2752
52,1,25,1,52,14.4514,121.1919
35,0,34,0,35,54.6333,23.9417
135,1,48,0,135,46.7,41.7333
34,1,24,7,34,41.823,-71.4187
200,5,200,6,151,35.6,116.9833
141,1,32,1,141,15.6667,120.6417
46,1,36,3,46,33.7635,-116.4271
188,1,64,2,188,24.8996,86.2888
53,1,9,2,53,-24.4878,-47.8439
82,3,10,22,82,34.1175,-117.3892
74,2,15,21,74,40.8543,-74.0201
35,0,35,2,31,52.0456,4.33
30,1,26,5,30,38.3479,-122.6965
40,1,40,2,18,43.4,10.4667
30,1,30,0,13,55.7,36.2
36,1,34,0,36,41.7333,45.3333
42,1,42,0,15,36.2488,138.4769
29,1,27,6,29,11.65,78.15
29,1,27,6,29,44.9233,-123.0244
29,1,27,6,29,42.5129,-70.9021
29,1,27,6,29,42.7902,-71.2202
29,1,27,6,29,37.2864,-80.0555
29,1,27,6,29,40.9049,-80.8492
29,1,27,6,29,40.0539,-111.6718
70,1,13,18,70,10.4929,123.4095
70,1,13,18,70,9.65,-68.5833
70,1,13,18,70,11.1236,-84.778
70,1,13,18,70,-34.8,-54.9167
70,1,13,18,70,37.4982,-122.2677
70,1,13,18,70,8.8006,-75.7022
70,1,13,18,70,6.1897,-74.9969
70,1,13,18,70,-17.4044,-63.7325
46,1,24,2,46,56.4667,53.8
46,1,46,0,35,33.18,129.715
49,1,49,3,28,40.4003,17.5667
42,1,25,4,42,50.95,5.8833
36,0,36,0,33,53.5333,7.95
51,1,24,5,51,36.7914,14.7025
50,1,23,5,50,50.5333,4.25
46,1,46,2,38,44.2733,9.3932
202,8,202,12,180,36.8622,114.502
54,1,44,0,54,45.2116,127.962
25,1,25,3,25,53.7492,-1.6023
50,1,31,7,50,35.3136,-81.0073
50,1,31,7,50,39.995,-74.7863
63,1,30,11,63,37.4001,-122.0796
33,0,18,0,33,-11.83,31.46
45,1,25,3,45,48.1375,11.575
24,0,14,0,24,-2.5167,32.9
24,0,14,0,24,-15.5986,34.5178
69,0,23,0,69,17.1011,100.8296
81,1,81,1,37,35.6804,140.0265
21,0,18,0,21,-1.0833,35.8667
60,1,28,0,60,11.5833,124.45
500,1,33,0,412,27.85,75.27
36,1,36,0,24,44.7506,44.9797
30,1,26,2,30,48.2686,2.6936
39,1,18,4,39,36.7469,-3.879
60,1,24,1,60,50.33,26.64
61,1,19,0,61,7.5866,125.8237
64,1,26,13,64,40.9304,-73.7836
50,1,39,4,50,33.8232,-78.7082
14,1,9,0,14,-22.7658,-52.985
88,1,34,3,88,37.075,41.2153
48,1,15,10,48,26.178,-80.1528
29,0,29,2,27,50.0667,8.8333
54,1,28,9,54,40.4004,-74.3126
47,1,43,4,47,41.7667,12.6667
38,1,29,1,38,44.5,0.1653
22,0,22,0,13,-20.05,48.1167
29,0,29,1,22,49.45,7.05
36,1,25,4,36,41.4744,1.9305
47,1,47,0,22,34.5833,135.55
52,1,34,4,52,39.4343,-76.6516
99,3,11,0,99,0.0478,18.2558
30,0,30,1,26,52.2044,8.3389
30,0,30,1,26,51,3.8
55,1,18,0,55,4.1333,96.1167
55,1,14,11,55,25.784,-80.2101
55,1,14,11,55,36.8878,-94.8711
65,1,22,0,65,10.245,123.7964
57,1,35,1,57,48.0833,20.6667
70,2,27,5,70,45,26.4406
79,1,38,2,79,44.4333,20.7
21,0,21,0,15,-17.0231,-72.0147
33,1,28,3,33,49.1739,-0.3211
156,5,1,12,156,-22.9467,-47.315
127,4,4,37,127,34.0497,-118.1326
140,2,140,2,81,36.1833,117.6667
56,2,19,13,56,33.6847,-117.3344
46,1,26,3,46,49.0525,12.0903
69,1,58,2,69,40.35,18.1667
35,0,29,1,35,51.3833,10.3333
71,2,0,6,71,-21.5319,-42.6428
184,7,147,18,184,36.45,115.9833
131,1,27,1,131,0.3903,9.4542
23,1,23,3,17,52.6653,-8.6238
23,1,23,3,17,40.2323,-75.5344
57,1,33,1,57,48.3058,14.2864
51,1,32,5,51,42.0475,-72.5718
28,1,28,2,28,49.6539,8.5675
172,3,121,1,172,26.37,86.08
172,3,121,1,172,26.5147,84.7645
172,3,121,1,172,27.0001,84.104
172,3,121,1,172,26.3272,87.016
95,3,18,2,95,11.8333,13.15
51,1,12,8,51,40.4728,-3.8722
26,0,26,0,21,-34.9,-54.95
37,0,17,0,37,3.9167,41.8333
41,1,41,0,25,43.8172,28.5828
27,1,27,1,24,42,2.2836
30,0,29,1,30,50.81,8.7708
32,1,25,3,32,50.8167,5.8167
37,1,37,2,29,57.5167,12.6833
29,0,28,1,29,51.1,8.0833
61,2,24,6,61,40.1986,-92.5752
64,1,64,2,34,35.376,139.9168
47,1,43,3,47,43.0998,-70.7126
51,1,18,6,51,50.9833,18.2167
71,1,30,0,71,11.0769,77.8876
39,1,39,0,11,58.3,82.9
53,1,53,0,22,35.02,136.5075
50,1,50,1,21,35,136.0833
32,0,28,1,32,51.2833,8.8667
33,1,12,0,33,9.4167,-5.6167
54,0,29,0,54,16.243,103.0627
31,1,31,2,4,60.8681,26.7042
33,0,26,2,33,50.9667,7.9667
53,1,32,1,53,49.6833,21.75
75,1,40,0,75,5.3292,103.1361
49,1,49,0,16,36.1474,139.3886
35,1,35,2,33,57.4833,12.0667
98,1,46,4,98,18.55,31.85
47,1,41,1,47,44.8667,40.6167
30,1,29,1,30,39.207,-2.1604
150,2,6,14,150,19.22,-70.53
150,2,6,14,150,2.0008,-76.7778
150,2,6,14,150,4.9992,-74.3411
31,1,31,1,29,62.7333,22.5833
31,1,7,2,31,-17.7219,-48.16
55,1,5,5,55,-27.09,-48.6108
27,1,14,1,27,-23.5917,-48.0531
65,3,16,0,65,8.9195,11.3264
169,5,169,11,154,35.229,113.2304
45,1,40,0,45,45.2937,130.965
61,2,20,12,61,41.5188,-88.1499
49,1,49,0,23,34.4333,135.3667
49,1,49,1,18,35.3988,136.8484
60,0,28,0,60,16.3383,103.5756
40,1,40,0,30,37.3719,138.559
31,1,27,2,31,48.5667,7.8167
61,2,16,15,61,42.9646,-78.8713
61,2,16,15,61,47.7516,-122.2489
193,4,172,1,193,25.5022,86.4671
47,1,27,0,47,16.7833,121.5333
49,1,4,3,49,-20.1019,-42.4528
41,1,41,0,30,45.4575,28.2711
33,1,33,2,25,52.2833,7.4333
52,1,46,3,52,41.1065,-74.2749
93,3,1,5,93,5.4208,-75.7025
93,3,1,5,93,7.4406,-77.1189
50,1,22,10,50,54.138,-1.524
50,1,22,10,50,37.7417,-121.131
75,1,19,8,75,29.9593,-90.2202
87,1,18,3,87,22.3428,-80.5553
500,1,41,1,467,28.8909,76.5796
47,1,47,1,39,42.6167,14.0667
30,1,16,0,30,-23.1936,-49.3839
55,2,4,7,55,42.8724,-112.4647
41,1,41,2,15,40.8,14.55
189,1,46,0,189,26.67,78.37
50,1,29,0,50,-33.5917,26.8875
61,1,38,0,61,51.2,42.25
80,1,16,0,80,5.4333,-2.15
65,0,32,1,65,53.759,-2.699
24,0,12,0,24,-7.7369,-37.9928
155,4,12,11,155,10.4667,-68.0167
175,3,104,3,175,22.4679,88.1452
25,0,22,0,25,19.75,96.2
38,1,38,1,34,42.3,25.9333
75,1,75,0,69,35.5412,106.6819
38,1,9,1,38,-4.2728,-41.7769
68,1,30,1,68,42.4413,19.2629
36,1,36,1,24,50.1167,27.5167
87,1,35,2,87,51.1833,22.0667
92,2,16,4,92,-27.1578,-48.5528
25,0,20,0,25,-9.045,-35.3978
46,1,5,1,46,-6.3378,-47.3989
50,2,38,7,50,43.4322,13.6647
41,1,41,1,17,43.3194,-3.0194
34,1,34,0,9,53.2,-105.75
52,1,29,0,52,61.8,36.5167
62,1,15,12,62,53.5615,-2.3268
124,1,19,2,124,30.665,-96.3807
124,1,19,2,124,41.4706,-84.5483
50,1,31,0,50,53.6583,52.4358
49,3,10,0,49,3.3397,20.87
50,1,10,2,50,-21.5289,-46.6439
62,2,32,8,62,45.6,11.4944
58,1,41,2,58,35.1578,-117.8721
60,2,40,4,60,45.8,9.4333
12,1,1,0,12,-20.1,-63.5333
12,1,1,0,12,-20.0386,-63.5183
26,1,24,4,26,52.061,-1.336
36,1,36,4,17,38.6667,-9.0667
35,0,35,1,28,52.3,9.4811
42,1,17,6,42,10.4322,-66.8739
123,1,41,0,123,40.0667,70.8167
31,1,31,0,30,51.5167,104.1333
64,1,22,10,64,28.3254,-82.6834
76,2,28,11,76,35.4833,139.4
145,4,8,21,145,23.05,112.4667
162,5,19,33,162,39.4887,115.9918
53,1,38,3,53,39.1744,8.9711
58,1,56,2,58,41.05,16.9167
72,2,26,7,72,45.6167,8.9
60,2,28,6,60,37.2254,-80.0072
52,1,8,15,52,45.5355,-122.8006
35,1,35,2,32,41.9662,-91.6783
88,1,37,2,88,42.0864,13.5575
85,1,41,3,85,46.2358,15.2675
119,3,14,2,119,37.5952,-120.962
119,3,14,2,119,-15.3078,-49.5978
119,3,14,2,119,-29.8667,-61.95
37,1,37,0,31,43.4333,43.575
73,1,27,2,73,14.0647,100.6458
36,1,36,1,21,36.2164,-121.133
99,1,19,2,99,27.5094,-97.861
99,1,19,2,99,42.1,-82.7167
42,1,31,3,42,51.145,5.7403
38,1,38,0,34,52.2167,24.3667
63,1,42,2,63,48.3453,16.3331
63,1,48,0,63,36.85,27.2333
153,1,20,0,153,12.48,-13.296
75,1,38,1,75,50.4667,17.9667
37,1,27,0,37,56.6167,57.7722
65,1,24,4,65,55.5667,36.7
68,1,48,0,68,31.96,77.1
68,1,48,0,68,39.0892,33.0806
41,1,27,5,41,51.0167,3.85
35,1,35,1,24,44.6333,40.7333
64,2,15,0,64,9.05,13.7333
63,2,16,0,63,0.1861,30.4539
104,1,41,0,104,45.5799,84.8892
64,1,41,2,64,50.2322,8.7681
33,1,33,0,23,56.3,62.6
65,0,19,0,65,-2.5667,150.8
67,1,48,5,67,32.1714,34.9083
36,1,17,6,36,65.7361,24.5636
60,1,35,3,60,49.6,8.4667
36,0,36,0,18,55.8706,12.8311
35,0,35,1,22,52.4394,9.74
30,1,30,2,16,52.25,5.2333
62,1,33,4,62,27.9088,-82.7712
62,1,33,4,62,38.88,-76.8289
53,1,27,6,53,48.5667,10.4333
100,2,20,9,100,43.5769,7.0194
28,1,28,3,16,10.7833,122.5833
75,1,33,6,75,45.5781,8.9183
53,1,34,4,53,38.9609,-94.8018
49,1,40,0,49,48.7,45.2167
37,1,31,0,37,45.4667,133.4
38,1,38,0,13,49.6942,-112.8328
31,1,19,1,31,24.9211,102.4778
53,2,35,5,53,37.666,-77.4838
63,1,37,0,63,-7.6,109.5167
66,1,19,0,66,13.2167,-2.35
49,1,35,0,49,52.5,39.9667
61,2,26,7,61,45.6,10.15
117,3,8,32,117,40.8891,-74.0462
50,1,41,3,50,45.2545,-93.2039
40,1,33,2,40,51.6833,7.8167
53,0,22,0,53,14.5129,75.8072
30,0,30,2,16,51.8175,-0.3524
133,2,122,3,133,35.9619,50.68
40,1,20,5,40,65.1833,25.35
37,1,30,5,37,42.4619,-83.0977
42,1,21,7,42,53.014,-1.354
51,1,34,2,51,48.3517,8.9633
69,2,11,18,69,34.1113,-117.165
69,2,11,18,69,41.5483,-87.4588
69,2,11,18,69,40.4276,-111.7957
69,2,11,18,69,38.7602,-89.6812
39,1,39,1,18,33.3694,131.5324
49,1,31,3,49,51.1714,6.9394
26,1,26,5,18,51.947,-0.283
29,1,29,3,29,51.4,4.7667
142,2,142,3,80,29.58,-90.7059
19,1,2,2,19,-12.9397,-74.2475
26,0,26,0,17,61.7333,17.1167
37,1,19,2,37,42.1333,-0.4167
59,2,20,14,59,42.2861,-70.8835
66,2,66,6,60,23.72,120.4354
32,1,32,1,29,63.5667,27.1833
125,4,85,6,125,41.8025,123.4281
65,2,65,1,60,24.665,89.419
65,2,65,1,60,25.6539,84.9793
53,0,22,0,53,14.991,75.223
76,2,76,1,59,44.4079,126.9429
130,2,16,6,130,20.9478,-101.4281
130,2,16,6,130,25.0836,85.428
42,1,35,0,42,53.8167,39.55
35,1,35,0,13,54.7828,32.0453
37,1,33,2,37,56,40.0333
67,1,21,0,67,10.5333,123.9333
67,1,21,0,67,10.0167,124.2667
50,1,26,9,50,38.5553,-121.737
64,1,25,0,64,8.75,38.9833
37,1,37,3,18,41.7064,-70.1644
53,1,37,1,53,47.4,8.4
35,1,35,0,33,53.9658,38.3247
53,1,37,4,53,51.5125,10.2597
64,1,35,4,64,50.3522,5.4563
53,2,25,12,53,38.96,-76.9109
59,1,30,1,59,46.5276,6.5605
111,3,7,33,111,33.917,-118.4018
157,3,157,3,125,43.5171,118.0333
28,1,28,3,17,54.5167,-6.0333
50,2,32,8,50,41.7918,-88.0888
26,1,16,0,26,3.1167,35.6
38,1,35,3,38,34.6618,-120.4714
38,1,10,3,38,7.8333,-72.5167
32,0,32,1,14,53.3244,11.4972
31,0,17,2,31,-7.555,-35.4528
50,1,26,5,50,40.2667,8.7833
103,3,93,1,103,24.26,86.65
49,1,19,2,49,22.9164,-81.8572
108,3,0,6,108,5.1,-75.55
35,1,30,6,35,37.7927,-121.2264
41,1,28,0,41,-25.9667,32.5833
60,1,36,2,60,51.2778,12.3833
94,1,49,1,94,39.6421,2.7527
32,1,26,5,32,37.7981,12.4342
48,2,16,0,48,-0.6133,30.6583
56,2,56,0,44,42.5279,125.678
65,2,19,15,65,42.4556,-71.059
32,1,27,0,32,28.2722,-105.4819
59,1,25,4,59,0.05,37.65
59,1,25,4,59,24.0097,85.4673
33,0,33,1,19,52.3167,7.7806
100,2,20,9,100,43.6,6.9947
58,1,21,0,58,3.6504,31.72
63,2,21,4,63,47.75,7.34
51,1,32,1,51,48.6333,24.5833
74,1,45,7,74,33.0058,35.0989
39,0,26,0,39,14.6283,102.7933
128,3,128,2,116,22.8192,108.315
74,2,15,18,74,42.2847,-71.3497
183,9,26,31,183,29.5872,105.0635
37,1,37,1,18,48.9794,28.8439
45,1,42,1,45,44.312,-94.4685
58,1,24,6,58,50.529,-3.61
55,1,36,2,55,50.8167,7.0333
31,1,29,3,31,51.1167,2.75
40,1,30,0,40,57.9167,59.9667
59,1,19,0,59,-12.9167,34.3
33,1,33,0,6,52.7575,-108.2861
47,1,37,1,47,51.7067,10.0011
45,1,11,2,45,-19.7606,-43.0289
118,1,42,1,118,45.2542,19.8425
56,1,35,1,56,53.3833,83.9333
50,1,35,0,50,50.5333,42.6833
69,1,49,2,69,31.3167,34.6167
45,1,18,5,45,44.7088,-75.4717
37,1,37,1,11,36.4422,139.8147
35,1,31,5,35,47.8631,-122.2037
144,1,36,1,144,44.0986,3.0783
43,1,40,0,43,48.9167,40.3833
60,2,30,7,60,45.4375,12.1329
60,2,30,7,60,40.4333,-8.7333
155,1,31,0,155,31.445,12.9831
38,0,14,0,38,8.0933,123.485
52,1,41,3,52,45.2991,-93.7996
52,1,41,3,52,33.6257,-91.7934
21,0,12,1,21,-17.2,-70.9333
69,2,8,19,69,33.9244,-117.2045
56,1,26,0,56,-3.4283,29.925
56,1,26,0,56,-3.426,29.8436
67,1,60,0,67,45.5906,4.7689
54,1,21,0,54,7,39.9833
35,1,33,1,35,43.019,-71.568
23,0,23,0,19,-6.2669,-35.21
41,1,41,0,21,44.7725,-0.6156
52,1,20,2,52,10.0693,-84.3136
63,1,63,0,60,49.8639,8.5639
38,1,37,0,38,53.2167,6.2833
43,1,43,1,42,39.8654,-83.069
129,0,29,0,129,17.9743,-66.1104
160,5,33,12,160,23.4928,87.7347
41,1,40,0,41,51.6,5.2333
41,1,40,0,41,50.7956,6.1269
50,1,37,1,50,41.7686,140.7289
70,1,35,5,70,35.1894,139.0247
41,1,33,2,41,37.0551,-76.363
41,1,33,2,41,51.422,-0.367
41,1,33,2,41,40.5844,-79.9534
41,1,33,2,41,42.9391,-70.837
125,3,10,23,125,35.3199,136.7033
126,1,33,0,126,18.7667,-69.25
38,1,38,0,32,52.35,4.6167
80,1,26,0,80,29.0989,-110.9542
55,1,46,0,55,51.2,9.7167
104,2,35,13,104,36.8567,136.9731
163,3,72,2,163,23.9035,79.5686
58,1,33,4,58,41.8007,-87.9273
45,1,26,0,45,6.6119,0.4703
45,1,45,0,26,52.6667,13.2833
110,0,28,0,110,18.1437,-67.1199
9,0,9,0,8,-9.5333,-77.5333
29,0,20,0,29,-10.0686,-78.1603
36,1,36,0,32,51.1,3
72,3,6,18,72,37.5578,140.1048
52,1,5,0,52,-3.285,-60.1886
65,1,65,0,59,47.5333,19.4
53,1,44,0,53,51.3833,7.6667
64,1,42,0,64,45.5442,3.2489
29,1,25,0,29,-20.4728,-45.1258
58,1,32,3,58,42.9798,140.5146
82,1,50,0,82,45.5344,13.6675
56,1,52,0,56,43.975,21.2564
158,4,53,4,158,32.73,74.87
36,1,36,0,4,60.9167,24.65
90,1,21,0,90,9.35,42.8
52,1,41,2,52,40.326,-78.9194
52,1,41,2,52,40.3499,-104.9482
24,0,24,0,18,-6.0339,-37.02
97,1,43,0,97,46.1167,48.0833
173,4,76,8,173,31.1167,74.45
79,2,45,0,79,12.9889,7.6008
27,0,26,0,27,29.7905,-95.8353
43,1,34,3,43,55.7964,49.1089
56,1,18,0,56,-3.9907,122.5086
37,1,28,2,37,46.1978,-119.1732
65,1,60,0,65,49.3658,8.5336
46,1,46,0,30,36.1892,50.0642
57,2,23,5,57,32.0736,-84.2248
49,1,14,5,49,43.4745,-111.9568
46,1,27,0,46,15.85,104.6333
69,1,26,3,69,61.1508,-149.1091
114,1,38,0,114,21.15,77.28
40,1,5,1,40,-18.6489,-48.1869
50,0,12,0,50,-6.225,155.5667
45,1,35,2,45,40.0033,-75.2947
45,1,35,2,45,34.1949,-97.1256
47,1,27,1,47,14.7222,120.5354
52,1,20,0,52,1.3,10.9333
50,1,39,0,50,38.4847,47.0678
38,1,38,0,3,48.2833,46.1667
58,1,31,2,58,43.9289,2.1464
56,1,21,6,56,56.3936,38.715
174,5,167,4,174,18.8621,78.8754
56,1,12,4,56,-26.4128,-49.0728
66,1,37,2,66,49.1333,9.05
57,1,23,2,57,47.35,11.7
30,1,30,2,22,34.3628,135.2761
104,3,0,13,104,13.8667,-88.6333
57,1,31,1,57,57.6667,46.6167
182,10,16,14,182,-26.9789,26.6692
33,1,31,7,33,39.3642,-76.5175
134,4,11,13,134,9.08,-79.28
51,1,25,7,51,27.9631,-80.6593
93,3,13,39,93,33.7872,-118.3973
82,2,13,9,82,14.7361,-91.1558
61,1,19,7,61,48.8966,2.4017
31,1,14,1,31,-23.3886,-48.7228
91,1,63,1,91,41.2944,69.6764
87,1,27,3,87,37.3405,-95.2958
58,2,18,17,58,40.5202,-74.2724
42,1,41,2,42,37.2043,-77.3913
34,0,26,0,34,19.1653,99.9036
35,1,9,3,35,7.0833,-73
68,1,18,1,68,15.6917,-93.2093
33,0,33,0,33,54.9517,20.2333
55,2,1,2,55,1.8989,-76.0419
36,1,12,0,36,-24.7569,-51.7608
70,1,6,5,70,-15.4528,-47.6139
83,2,5,23,83,28.014,-82.1201
78,2,4,16,78,39.9108,-104.9783
104,1,34,5,104,45.5833,9.2
47,1,33,0,47,44.1748,17.6634
51,1,31,1,51,56.1333,47.5
35,0,31,1,35,52.65,16.8167
66,1,30,1,66,31.8801,-102.3448
37,1,31,0,37,56.7833,23.9333
105,1,37,4,105,45.6333,8.8833
86,1,24,0,86,8.5333,37.9667
71,2,13,24,71,40.8709,-73.6287
62,2,24,19,62,42.0825,-87.8214
30,1,27,5,30,51.8644,-2.2444
30,1,27,5,30,39.7924,-75.0363
30,1,27,5,30,42.626,-70.6897
134,3,4,15,134,-34.0647,-70.7264
36,0,33,1,36,52.2125,7.0417
41,1,17,3,41,21.0178,-101.2567
14,0,12,1,14,-46.4131,168.3475
44,1,34,4,44,42.9773,-85.0727
69,1,38,0,69,4.5972,101.075
39,2,7,0,39,2.7833,27.6167
36,1,36,0,36,54.64,83.3061
32,1,7,2,32,-17.8569,-42.8589
43,1,43,1,18,34.7833,135.4
31,1,13,1,31,-7.3039,-38.15
12,1,12,0,8,-29.125,-56.5528
321,5,6,21,321,19.3186,-98.8822
101,1,28,0,101,17.7227,79.1518
48,1,21,6,48,27.2437,-80.2423
38,1,10,1,38,-15.865,-50.8678
38,1,10,1,38,-11.0469,-41.9689
42,1,27,3,42,51.2167,6.6167
81,1,16,0,81,9.9833,122.8167
27,0,27,0,26,20.8715,-156.4603
23,0,23,0,13,23.3715,104.2437
192,2,137,1,192,30.7258,72.6447
173,1,61,2,173,27.5868,68.001
44,1,44,1,16,35.1322,136.7868
64,2,27,0,64,1.2333,35.1167
55,1,28,3,55,49.0092,8.404
45,1,45,1,33,34.5039,133.51
38,2,15,2,38,13.0833,-1.0833
40,1,40,0,17,45.3619,36.4711
62,2,20,1,62,-0.5,37.2833
66,0,25,0,66,14.83,120.28
35,1,27,1,35,46.1833,6.1
37,1,29,4,37,52.7,4.95
45,1,45,1,34,42.35,14.4
57,1,57,0,37,40.7333,17.5833
57,2,32,0,57,-0.95,100.3531
88,3,1,10,88,-19.4489,-44.7478
16,0,12,0,16,-6.2108,-40.6939
66,1,45,0,66,37.7289,12.8894
28,1,28,2,28,46.6486,-0.2469
28,1,28,1,28,48.5744,13.4647
48,1,39,1,48,43.2428,25.3217
31,1,31,0,27,55.7667,38.6667
55,1,21,3,55,32.273,-90.0918
150,5,0,10,150,-19.6178,-44.0428
37,1,32,3,37,51.1328,5.4536
27,1,27,2,27,49.7564,11.545
32,0,22,0,32,-12.9667,40.55
45,1,45,1,34,42.45,13.9167
53,1,40,0,53,45.45,23.42
44,0,21,0,44,16.4169,101.1533
82,1,33,0,82,32.7281,-103.16
95,1,25,2,95,47.0167,8.3167
35,0,34,1,35,52.0333,5.1667
38,1,20,1,38,-11.1,-77.6
73,2,7,6,73,15.3147,-91.4761
111,4,29,1,111,0.615,33.485
25,0,14,1,25,-16.0836,-69.6383
53,1,29,8,53,39.8924,-75.1172
87,3,1,8,87,-16.4958,-49.4258
42,1,21,5,42,26.1844,-81.7031
50,1,40,4,50,44.9901,-93.3591
55,1,16,15,55,28.6114,-81.2916
60,3,24,0,60,10.2904,11.17
60,3,24,0,60,0.1811,32.1142
79,1,32,4,79,36.333,-86.7026
28,1,28,0,27,58.3667,58.3333
123,1,26,0,123,12.5778,-15.8722
75,3,7,19,75,42.9619,-85.6562
75,3,7,19,75,47.238,-93.5327
70,1,32,9,70,38.8802,-94.5227
70,1,32,9,70,46.2443,-119.9092
54,2,25,8,54,39.2238,-121.0522
32,1,20,6,32,53.3918,-2.6383
45,1,34,5,45,43.246,-77.6988
37,1,26,2,37,45.7364,4.7636
31,1,31,2,18,47.8333,12.9667
50,1,13,7,50,40.2833,-3.8
38,1,24,3,38,49,9.7667
47,1,11,0,47,7.2375,-8.9814
73,1,42,0,73,47.02,23.9
28,1,22,5,28,55.8051,-4.2946
48,1,48,1,45,41.1833,16.6667
52,1,29,7,52,39.9849,-75.82
59,1,37,3,59,45.5897,9.3359
70,1,39,0,70,45.8436,23.3636
65,2,15,4,65,44.3833,7.55
73,2,13,19,73,41.7949,-88.0172
35,1,11,2,35,-22.4144,-49.4039
26,1,26,2,23,49.4833,6.0833
36,1,19,9,36,56.0719,-3.4393
40,0,34,0,40,53.6,34.3333
48,1,26,3,48,48.3,11.6167
74,3,31,0,74,0.5167,35.2833
54,1,30,1,54,35.3862,-99.4301
500,1,50,3,437,27.63,78.67
30,0,25,2,30,50.6333,6.0333
54,1,31,5,54,38.8531,-77.2997
135,1,28,3,135,14.3333,-16.4069
84,2,25,10,84,43.0236,-83.6921
84,2,25,10,84,53.2482,-3.1358
48,1,25,11,48,28.6619,-81.4444
204,1,42,1,204,24.5026,81.5004
52,1,27,0,52,14.8333,120.7333
52,1,27,0,52,6.6833,125.3
32,1,32,1,11,47.6667,13.0833
52,1,52,2,36,35.7672,139.3109
77,2,23,8,77,42.7525,-84.402
42,1,21,8,42,44.9793,-122.9738
32,1,17,10,32,51.0048,-0.0979
31,0,30,2,31,52.3833,6.05
41,1,41,0,38,42.5404,129.0039
64,2,7,10,64,9.9985,-84.1169
41,0,40,0,41,43.2667,-1.9667
41,0,40,0,41,11.3239,125.6181
75,2,14,19,75,41.7248,-87.828
33,1,12,8,33,51.6287,-0.7482
48,1,34,5,48,40.7944,-73.07
48,1,34,5,48,42.1471,-71.0057
33,0,33,1,29,52.7333,6.4833
10,0,2,1,10,-12.7864,-74.9756
25,0,4,2,25,-12.0667,-75.2167
31,1,23,4,31,53.645,-1.7798
80,1,17,11,80,33.4239,-87.022
57,1,27,10,57,41.4015,-73.4709
26,0,26,0,19,-9.0833,143.2
62,1,42,0,62,41.525,20.5272
81,0,27,0,81,14.43,77.72
81,0,27,0,81,17.21,82.34
81,0,27,0,81,18.2164,83.8856
70,2,32,1,70,13.3171,12.6089
65,1,23,0,65,20.655,-87.9372
79,1,33,1,79,49.0167,25.8
51,1,21,2,51,21.9833,-99.0167
67,2,11,6,67,-1.55,-79.7333
70,1,42,4,70,39.4653,-74.9981
48,1,10,0,48,3.0372,29.5355
38,1,23,3,38,50.7,3.217
37,1,37,1,24,52.075,8.4125
37,1,37,4,35,41.5521,-93.7806
59,1,45,4,59,40.1308,-75.3794
61,0,32,1,61,53.549,-2.529
57,0,30,0,57,55.8621,-3.6872
73,1,43,4,73,39.6874,-74.9786
36,1,27,1,36,51.8,16.3167
171,4,171,3,141,34.5906,119.1801
57,1,27,0,57,13.1007,77.5963
61,0,33,0,61,52.6167,38.4667
41,1,41,0,37,39.8208,34.8083
149,3,128,15,149,23.9611,120.5736
44,1,43,2,44,34.1234,-116.4216
31,1,30,0,31,61.3167,63.3333
33,1,32,0,33,54.8667,58.4333
39,1,39,3,28,56.1,94.5833
32,0,28,1,32,51.15,15.0083
53,1,24,12,53,39.9897,-86.3182
45,1,45,1,37,48.0181,38.2563
76,0,23,0,76,15.13,75.47
